group,graph_hash,edge_count,degree_sequence,d_min,d_mean,d_max,union_vertices,all_vertex_disjoint
target_clean,f398dd9300c3f37fa91baeba758bea04d9239cb6d1b18abccfd25d252c4e2a22,49,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4",3,5.666666666666667,7,16,True
target_clean,6bd8f9145c419b95a402b3f22b4e6c4d13eb4c8ab066741c2191939fba6611e4,48,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3",3,6.666666666666667,10,16,True
target_clean,57ffcbc5208de7aae826ebb1ddfe598a2ce9eb0a021e952970bbea4cfbf4d5df,49,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4",3,5.666666666666667,8,16,True
target_clean,8afa1624a15c9b995cb952a175ebb73873c5715b09a94614702e28a0e0f8a53b,48,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3",1,6.666666666666667,8,16,True
target_clean,924f4adfe64611ccde15f12e4e139c3a910e7b0c63c3df57476d6d32a5e1b88f,48,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3",3,7.0,8,16,True
target_clean,e999eab4d25db71f71ea7b83a392e6e4cd7badf2c5a6c79b7b46c5a55df40122,48,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3",2,6.833333333333333,8,16,True
target_clean,100287ca17544787cb00390ffc026ff8ca682e06ac86553b7c223ea5ef19be37,48,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3",3,6.666666666666667,10,16,True
target_clean,e2e82d6036814ae375314332072d8212e2eb70ea0e9c1d5bb95e16d14a3c4568,49,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4",2,5.166666666666667,7,16,True
target_clean,d1017f5a43b7e130005dc6536c462e85907a61f2068fdaa6dd089a36aee45bf1,49,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4",1,6.0,9,16,True
target_clean,1ee8d6745f6ed06d2e934e9e0e7df3a05085905e1163f12c2d7b0d9968b0f0ac,48,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3",1,7.0,9,16,True
target_clean,40942a6f7ac7adccce132a76070ebe138a3fd02ebb7532d23ef83f40f35debf6,48,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3",4,7.333333333333333,12,16,True
target_clean,d3f398665b14031c7289ae87bf153705870a89f6289aff9da7a7a66cc74f31bb,49,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4",1,6.666666666666667,8,16,True
target_clean,34d4324764f333472455b965d1bfed2ed3f152fdb956fc1a621622d4b985bc34,48,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3",1,7.0,9,16,True
target_clean,24e114668f30c3925f577599bbd3577c6bda4bfff127ecaaed8685634f01fd39,48,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3",1,6.333333333333333,9,16,True
target_clean,832101655fa9553e8b43cb18c66db1feaad3d1b8da372a7973ff7a0b2d2e1dd9,49,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4",4,7.166666666666667,10,16,True
target_clean,cc2f06dab3e6e63398d7dbdcd3731b1103a5f81b3f3d2b7c8af490655099df77,49,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4",4,6.833333333333333,11,16,True
target_clean,29b3188f0623b6d6d352252d841513f2c2118451369a2deeae684fef102fa828,48,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3",3,7.833333333333333,12,16,True
target_clean,7597cc1fdcc78a74f6fe489fc1aa80c45335706c709112ef22e9778fd4947429,48,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3",3,7.833333333333333,12,16,True
target_clean,9aea38fed42227fdf25e39a97897765c56abb2daf678b91d58d81f73748bd62f,48,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3",1,6.666666666666667,8,16,True
